Giới thiệu,Diện tích,Giá nhà,Địa chỉ,Ngày đăng,Link,Pháp lý,index_,Mô tả
"Cần bán nhà phố Đại Cổ Việt, vỉa hè,KD 40m, giá 7 tỷ",40 m2 5 PN 5 WC,7 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/can-ban-nha-pho-dai-co-viet-via-he-kd-40m-gia-7-ty-id22024330,Sổ đỏ,1,
"Bán nhà phân lô ngõ 33 Tạ Quang Bửu, 80m2 x 3 tầng, 12.5 tỷ",80 m2 5 PN 5 WC,12 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-phan-lo-ngo-33-ta-quang-buu-80m2-x-3-tang-12-5-ty-id21533190,Sổ đỏ,2,
"Bán nhà mặt ngõ 33 Lê Thanh Nghị, 55m2 x 4 tầng, 14 tỷ",55 m2 5 PN 5 WC,14 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-mat-ngo-33-le-thanh-nghi-55m2-x-4-tang-14-ty-id22211993,Sổ đỏ,3,
Bán nhà mới 100m2 x 6 tầng ngõ 40 Tạ Quang Bửu - Bách Khoa,100 m2 8 PN 8 WC,20 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-moi-100m2-x-6-tang-ngo-40-ta-quang-buu-bach-khoa-id21471496,Sổ đỏ,4,
Bán nhà mới 100m2 x 6 tầng phố Trần Đại Nghĩa - ĐH Bách Khoa,100 m2 8 PN 8 WC,20 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-moi-100m2-x-6-tang-pho-tran-dai-nghia-dh-bach-khoa-id21405739,Sổ đỏ,5,
"Bán nhà ngõ 27 Đại Cồ Việt, 75m2 x 6 tầng, kinh doanh & văn phòng",75 m2 6 PN 6 WC,14 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ngo-27-dai-co-viet-75m2-x-6-tang-kinh-doanh-van-phong-id21811814,Sổ đỏ,6,
"Bán nhà mới 70m2 x 5 tầng mặt ngõ 40 Tạ Quang Bửu, khu Bách Khoa",70 m2 6 PN 5 WC,20 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-moi-70m2-x-5-tang-mat-ngo-40-ta-quang-buu-khu-bach-khoa-id21743641,Sổ đỏ,7,
"Bán nhà ngõ 40 Tạ Quang Bửu, DT 58m2 x 4 tầng, tiện kinh doanh & VP",58 m2 6 PN 4 WC,10 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ngo-40-ta-quang-buu-dt-58m2-x-4-tang-tien-kinh-doanh-vp-id21575609,Sổ đỏ,8,
"Bán nhà góc mặt phố Trần Đại Nghĩa - Lê Thanh Nghị, 80m2, 35 tỷ",80 m2 0 PN 0 WC,35 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-goc-mat-pho-tran-dai-nghia-le-thanh-nghi-80m2-35-ty-id22203594,Sổ đỏ,9,
"Bán nhà phân lô cán bộ 50m2 x 4 tầng ngõ 40 Tạ Quang Bửu, Bách Khoa",50 m2 6 PN 4 WC,7 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-phan-lo-can-bo-50m2-x-4-tang-ngo-40-ta-quang-buu-bach-khoa-id21885266,Sổ đỏ,10,
